time,iID,jID,tau,correlation
55,6,5,22,0.9113266498792912
55,6,7,11,0.8415663943372704
55,7,4,10,0.7284241755046118
55,7,11,22,0.7879013999334189
55,7,12,14,0.8898231833795353
55,8,9,16,0.9813969083336089
55,9,8,17,0.9377939423726619
55,10,5,31,0.8853348234816245
55,10,6,24,0.9279266461793848
55,10,7,4,0.8270247512976994
55,11,1,1,0.8590651777858777
55,11,2,10,0.7295159377181829
55,11,4,1,0.9307325247466673
55,11,5,4,0.8218928356189208
55,11,10,13,0.7469260980247698
55,11,12,24,0.9600986813777949
55,12,1,7,0.9205715549427728
55,12,2,1,0.7910327703369091
55,12,4,8,0.9749186826005679
55,12,10,3,0.7428800689701802
55,12,11,19,0.975964810898617
56,1,2,9,0.9157325967213797
56,1,4,18,0.802831957356734
56,1,10,11,0.824777004197684
56,1,11,29,0.8143491416203084
56,1,12,22,0.8121367198033514
56,2,6,12,0.786891114850467
56,2,7,8,0.8309172042351417
56,4,1,27,0.9274482393595682
56,4,2,5,0.9513692029459874
56,4,10,7,0.8784823206785364
56,4,11,24,0.9469779179730344
56,4,12,18,0.7352976941503303
56,5,6,10,0.9584019838995074
56,5,7,5,0.9609243835711755
56,5,10,31,0.8959134250979686
56,6,5,22,0.864420506731385
56,6,7,11,0.811728123120979
56,7,11,22,0.702258087229094
56,7,12,14,0.8761072211319213
56,8,9,16,0.9680470872163176
56,9,8,17,0.9362476126327304
56,10,5,31,0.8959134250979686
56,10,6,24,0.9389328027400562
56,10,7,5,0.8229282239548943
56,11,1,2,0.8860815888086396
56,11,2,10,0.7803563380640535
56,11,4,1,0.9398459285544897
56,11,5,4,0.8223644203085573
56,11,10,13,0.8322402807866813
56,11,12,24,0.9640009352145616
56,12,1,8,0.9074345618034702
56,12,2,16,0.7862250224368116
56,12,4,8,0.9764551164086435
56,12,10,4,0.7174721933899055
56,12,11,19,0.9786377993625753
57,1,2,9,0.9182686479078245
57,1,4,18,0.7994551585746338
57,1,10,11,0.8791499264040782
57,1,11,29,0.8544599840515135
57,1,12,22,0.809216805116085
57,2,6,12,0.7238918841891854
57,2,7,8,0.7542018856143261
57,4,1,27,0.9507211498741357
57,4,2,5,0.939865913877407
57,4,10,8,0.884394627193059
57,4,11,24,0.9466905153240462
57,5,6,10,0.9584276635498435
57,5,7,5,0.9538643556289853
57,5,10,31,0.8981903769130744
57,6,5,22,0.7861649872509431
57,6,7,11,0.78906060261243
57,7,12,14,0.8666230393479517
57,8,9,16,0.952362904102161
57,9,8,17,0.9302955025460445
57,10,5,31,0.8981903769130744
57,10,6,24,0.9447348664790411
57,10,7,19,0.8625616938267304
57,11,1,2,0.908793577079258
57,11,2,11,0.820524072155251
57,11,4,1,0.9482945566689961
57,11,5,4,0.8295789605063167
57,11,10,13,0.8896800091059976
57,11,12,24,0.9678728064230773
57,12,1,8,0.9039835694788492
57,12,2,16,0.7848840566318233
57,12,4,8,0.9753603381991224
57,12,10,4,0.7033213283322435
57,12,11,19,0.9820256534870269
58,1,2,9,0.9202618083147408
58,1,4,18,0.8061616172476006
58,1,10,11,0.9032693312246901
58,1,11,29,0.8831701385579594
58,1,12,22,0.7863512803343563
58,4,1,27,0.962394729629932
58,4,2,5,0.9145127213272184
58,4,10,8,0.8933864327971729
58,4,11,24,0.9456312414030423
58,5,6,10,0.9486733697268631
58,5,7,5,0.9319381809841871
58,5,10,31,0.8984926734196277
58,6,7,11,0.7777808555858621
58,7,12,14,0.8636522032281572
58,8,9,30,0.9455614628946696
58,9,8,31,0.9217888081454259
58,10,5,31,0.8984926734196277
58,10,6,24,0.9348836897958364
58,10,7,19,0.9155026438101227
58,11,1,2,0.9235360474768871
58,11,2,11,0.8713377958503381
58,11,4,1,0.9556925806386241
58,11,5,4,0.8381989500546548
58,11,10,13,0.8991022140977275
58,11,12,24,0.9710526642857849
58,12,1,8,0.8999774388880643
58,12,2,17,0.7715923177722869
58,12,4,8,0.9745381420150074
58,12,11,19,0.9857637074831419
59,1,2,9,0.9253561571642971
59,1,4,17,0.8414099224615015
59,1,10,11,0.9134898124998013
59,1,11,29,0.9004303639876858
59,1,12,22,0.7473888656391066
59,4,1,27,0.9498461431365877
59,4,2,6,0.876762226034339
59,4,10,8,0.8798528401740648
59,4,11,24,0.945044381169789
59,5,6,10,0.9371959032954644
59,5,7,5,0.9081822656377705
59,5,10,31,0.9015443492703094
59,6,7,11,0.7724524005832258
59,7,12,14,0.8627623667262024
59,8,9,30,0.9381749806563006
59,9,8,31,0.9342030161291784
59,10,5,31,0.9015443492703094
59,10,6,24,0.9090862042920287
59,10,7,19,0.9366399897260193
59,11,1,2,0.9157971614433775
59,11,2,11,0.9004085149338048
59,11,4,1,0.9618330411857653
59,11,5,4,0.843831870642781
59,11,10,14,0.9089690651277783
59,11,12,24,0.9679246921204223
59,12,1,8,0.9009136862641709
59,12,2,17,0.7621328619098762
59,12,4,8,0.9749642723059747
59,12,5,11,0.7169863227088723
59,12,10,4,0.7033402680888697
59,12,11,19,0.9860133423764259
60,1,2,9,0.939911254876694
60,1,4,17,0.8853780485096817
60,1,5,1,0.7161922746987104
60,1,10,11,0.914069937439101
60,1,11,28,0.9174832020220288
60,1,12,22,0.7009908362770101
60,4,1,12,0.9389833085184126
60,4,2,6,0.8409926744954099
60,4,10,8,0.8405096658613473
60,4,11,24,0.9463257025163501
60,5,6,10,0.9318031815870117
60,5,7,5,0.888563128819084
60,5,10,31,0.8894109107960235
60,6,7,11,0.7782384502950518
60,7,12,14,0.8647162434444866
60,8,9,31,0.9401136424617927
60,9,8,31,0.9401136424617927
60,10,5,31,0.8894109107960235
60,10,6,24,0.8639841829465175
60,10,7,19,0.9130313225282669
60,11,1,2,0.8893123693623001
60,11,2,11,0.9123718699109136
60,11,4,20,0.9651752331104455
60,11,5,4,0.8433146811133903
60,11,10,14,0.8913607874818497
60,11,12,24,0.9505118928375531
60,12,1,8,0.9087829464531938
60,12,2,17,0.7674812550412188
60,12,4,8,0.9746234566607487
60,12,5,11,0.7953741116165809
60,12,10,4,0.7172658637219539
60,12,11,19,0.9849750095020189
61,1,2,9,0.9552008268421152
61,1,4,17,0.9221903887980496
61,1,5,1,0.776736546685374
61,1,10,12,0.912339971323012
61,1,11,28,0.9329613942457013
61,4,1,12,0.9145075080861367
61,4,2,21,0.8809200509625823
61,4,10,8,0.8026730576119622
61,4,11,24,0.9495103906409202
61,5,6,10,0.9276732681924598
61,5,7,19,0.8946088957758584
61,5,10,31,0.8511709893623667
61,6,7,11,0.79736101560087
61,7,12,14,0.8709872793858334
61,8,9,31,0.9427313325570114
61,9,8,31,0.9427313325570114
61,10,5,31,0.8511709893623667
61,10,6,24,0.7988238646450373
61,10,7,19,0.8371618207294389
61,11,1,18,0.8870220489520132
61,11,2,12,0.9104186683968429
61,11,4,20,0.9664015004106856
61,11,5,4,0.8393097200052518
61,11,10,14,0.8647970182621221
61,11,12,24,0.915703210110457
61,12,1,8,0.9146749502482288
61,12,2,17,0.7944903529555295
61,12,4,8,0.9743687655254024
61,12,5,11,0.8376577110930687
61,12,10,4,0.7427565926911994
61,12,11,19,0.9830136265335353
62,1,2,9,0.9576292611316262
62,1,4,17,0.9342965547509268
62,1,5,1,0.8230778210076222
62,1,10,12,0.9109599879677552
62,1,11,28,0.9366074263676778
62,4,1,13,0.9031218952545779
62,4,2,21,0.8824909887765381
62,4,10,8,0.7809765970975457
62,4,11,24,0.9528735254546554
62,5,6,10,0.9169043427545633
62,5,7,19,0.8748339605847979
62,5,10,31,0.788745317326269
62,6,7,11,0.8140837720557049
62,7,12,13,0.8821365053671787
62,8,9,31,0.946748617755038
62,9,8,31,0.946748617755038
62,10,5,31,0.788745317326269
62,10,6,10,0.714719608128024
62,10,7,19,0.7478533149944728
62,11,1,18,0.894247652784298
62,11,2,12,0.917867909314389
62,11,4,20,0.9656592833638437
62,11,5,4,0.8381754761327416
62,11,10,14,0.8426203347709085
62,11,12,24,0.87437298351516
62,12,1,9,0.9239421203664545
62,12,2,17,0.829226174293667
62,12,4,8,0.9761394556326651
62,12,5,11,0.8457677420812625
62,12,10,4,0.7720360033672238
62,12,11,19,0.9819329682953886
63,1,2,9,0.9492430433077799
63,1,4,17,0.9127153903128133
63,1,5,1,0.8479741034015404
63,1,10,12,0.9116189931947535
63,1,11,9,0.9256593976634997
63,4,1,13,0.9037130690081461
63,4,2,21,0.8659875397002894
63,4,10,9,0.7782839211472419
63,4,11,24,0.9558056428002734
63,5,6,10,0.8771855533395512
63,5,7,6,0.8410049346218367
63,5,10,31,0.7118830258597346
63,6,7,12,0.8462207628733377
63,7,12,13,0.8928958420079247
63,8,9,31,0.9553284594666307
63,9,8,31,0.9553284594666307
63,10,5,31,0.7118830258597346
63,11,1,18,0.8927544623791368
63,11,2,12,0.90662793124435
63,11,4,20,0.9688333966726678
63,11,5,4,0.8449133887785761
63,11,10,14,0.8201545014868037
63,11,12,24,0.8284181829430898
63,12,1,9,0.9384832341026258
63,12,2,17,0.8575938222343729
63,12,4,8,0.9775528390481001
63,12,5,11,0.8456122440662315
63,12,10,5,0.8074954749179076
63,12,11,19,0.9813541709318907
64,1,2,9,0.9435026275307719
64,1,4,16,0.8802467581971027
64,1,5,1,0.8635586834594581
64,1,10,12,0.9160298895789536
64,1,11,9,0.8985206051185973
64,4,1,13,0.9115413470475117
64,4,2,21,0.8515135094639781
64,4,5,15,0.7430274942442702
64,4,10,9,0.7866996068625046
64,4,11,24,0.9562748322567255
64,5,6,11,0.8326040571675161
64,5,7,6,0.7868495964445956
64,6,7,12,0.8710702802032848
64,7,12,13,0.8949607172144295
64,8,9,31,0.9696321268452353
64,9,8,31,0.9696321268452353
64,11,1,19,0.902082039291149
64,11,2,12,0.884476868536739
64,11,4,20,0.9738261848590765
64,11,5,4,0.856606584065963
64,11,10,14,0.7935657969428124
64,11,12,24,0.7751695096056415
64,12,1,9,0.9462474753919988
64,12,2,18,0.8710007109541577
64,12,4,8,0.977917964624213
64,12,5,11,0.8462670114381113
64,12,10,5,0.8322561681931778
64,12,11,19,0.9809225694318141
65,1,2,9,0.9397943273449673
65,1,4,16,0.8436611836739325
65,1,5,1,0.8809068520811733
65,1,10,12,0.9209843877688851
65,1,11,9,0.8585332425666115
65,4,1,13,0.9211948707915121
65,4,2,21,0.8464149056215233
65,4,5,15,0.8172742711833204
65,4,10,9,0.8010360789051764
65,4,11,24,0.9566166987445011
65,5,6,11,0.7515280100175015
65,5,7,6,0.7076651802773266
65,6,7,12,0.8841363367179343
65,7,12,13,0.8909814270390575
65,8,9,31,0.9771145210798293
65,9,8,31,0.9771145210798293
65,11,1,19,0.9119669472205624
65,11,2,12,0.8473779305395104
65,11,4,20,0.9744909993853069
65,11,5,4,0.866928884296027
65,11,10,15,0.7764329016887821
65,11,12,24,0.7159705506018048
65,12,1,9,0.9511828440481013
65,12,2,18,0.8888485938703745
65,12,4,27,0.9776907149433146
65,12,5,11,0.8422686873987136
65,12,10,5,0.8477102963570713
65,12,11,19,0.9803701024080664
66,1,2,9,0.9394391685626117
66,1,4,16,0.8140934526941829
66,1,5,1,0.8949053306177452
66,1,10,12,0.9220317112355212
66,1,11,27,0.8413553590518397
66,4,1,13,0.9251278148068233
66,4,2,22,0.864192417601793
66,4,5,15,0.8572986567838431
66,4,10,9,0.818344152280116
66,4,11,24,0.9598969044603048
66,6,7,26,0.8946999513261451
66,7,12,13,0.8804537840493287
66,8,9,31,0.9786533143894952
66,9,8,31,0.9786533143894952
66,11,1,19,0.9199029408265001
66,11,2,13,0.7967580169214449
66,11,4,20,0.973566336620064
66,11,5,4,0.87519084127498
66,11,10,15,0.7593333459572493
